cuda:0を使用
epoch: 1, loss_train: 0.8721, accuracy_train: 0.7642, loss_valid: 0.8669, accuracy_valid: 0.7691, 0.8085sec
epoch: 2, loss_train: 0.7065, accuracy_train: 0.7757, loss_valid: 0.6959, accuracy_valid: 0.7826, 0.5258sec
epoch: 3, loss_train: 0.6316, accuracy_train: 0.7833, loss_valid: 0.6200, accuracy_valid: 0.7879, 0.5248sec
epoch: 4, loss_train: 0.5782, accuracy_train: 0.7879, loss_valid: 0.5661, accuracy_valid: 0.7901, 0.5234sec
epoch: 5, loss_train: 0.5425, accuracy_train: 0.8014, loss_valid: 0.5304, accuracy_valid: 0.8081, 0.5372sec
epoch: 6, loss_train: 0.5128, accuracy_train: 0.8167, loss_valid: 0.5012, accuracy_valid: 0.8253, 0.6762sec
epoch: 7, loss_train: 0.4858, accuracy_train: 0.8318, loss_valid: 0.4754, accuracy_valid: 0.8388, 0.5328sec
epoch: 8, loss_train: 0.4633, accuracy_train: 0.8429, loss_valid: 0.4534, accuracy_valid: 0.8501, 0.5558sec
epoch: 9, loss_train: 0.4450, accuracy_train: 0.8596, loss_valid: 0.4379, accuracy_valid: 0.8598, 0.5427sec
epoch: 10, loss_train: 0.4265, accuracy_train: 0.8661, loss_valid: 0.4201, accuracy_valid: 0.8651, 0.5449sec
epoch: 11, loss_train: 0.4072, accuracy_train: 0.8732, loss_valid: 0.4024, accuracy_valid: 0.8696, 0.5626sec
epoch: 12, loss_train: 0.3902, accuracy_train: 0.8762, loss_valid: 0.3866, accuracy_valid: 0.8726, 0.5224sec
epoch: 13, loss_train: 0.3783, accuracy_train: 0.8839, loss_valid: 0.3777, accuracy_valid: 0.8808, 0.5209sec
epoch: 14, loss_train: 0.3674, accuracy_train: 0.8876, loss_valid: 0.3675, accuracy_valid: 0.8846, 0.5424sec
epoch: 15, loss_train: 0.3541, accuracy_train: 0.8912, loss_valid: 0.3567, accuracy_valid: 0.8861, 0.7652sec
epoch: 16, loss_train: 0.3473, accuracy_train: 0.8934, loss_valid: 0.3508, accuracy_valid: 0.8928, 0.7240sec
epoch: 17, loss_train: 0.3370, accuracy_train: 0.8946, loss_valid: 0.3423, accuracy_valid: 0.8928, 0.6924sec
epoch: 18, loss_train: 0.3278, accuracy_train: 0.8975, loss_valid: 0.3348, accuracy_valid: 0.8951, 0.5599sec
epoch: 19, loss_train: 0.3221, accuracy_train: 0.8990, loss_valid: 0.3302, accuracy_valid: 0.8943, 0.6457sec
epoch: 20, loss_train: 0.3155, accuracy_train: 0.9010, loss_valid: 0.3246, accuracy_valid: 0.8958, 0.5975sec
epoch: 21, loss_train: 0.3130, accuracy_train: 0.9015, loss_valid: 0.3242, accuracy_valid: 0.8981, 0.5475sec
epoch: 22, loss_train: 0.3051, accuracy_train: 0.9033, loss_valid: 0.3162, accuracy_valid: 0.8981, 0.5299sec
epoch: 23, loss_train: 0.2987, accuracy_train: 0.9044, loss_valid: 0.3113, accuracy_valid: 0.9003, 0.6519sec
epoch: 24, loss_train: 0.2963, accuracy_train: 0.9052, loss_valid: 0.3104, accuracy_valid: 0.8988, 0.7440sec
epoch: 25, loss_train: 0.2899, accuracy_train: 0.9060, loss_valid: 0.3053, accuracy_valid: 0.8996, 0.7182sec
epoch: 26, loss_train: 0.2873, accuracy_train: 0.9068, loss_valid: 0.3051, accuracy_valid: 0.8996, 0.8393sec
epoch: 27, loss_train: 0.2813, accuracy_train: 0.9081, loss_valid: 0.3001, accuracy_valid: 0.9018, 0.8097sec
epoch: 28, loss_train: 0.2796, accuracy_train: 0.9095, loss_valid: 0.2988, accuracy_valid: 0.9018, 0.5742sec
epoch: 29, loss_train: 0.2750, accuracy_train: 0.9106, loss_valid: 0.2960, accuracy_valid: 0.9018, 0.5940sec
epoch: 30, loss_train: 0.2716, accuracy_train: 0.9115, loss_valid: 0.2933, accuracy_valid: 0.9003, 0.5604sec
epoch: 31, loss_train: 0.2697, accuracy_train: 0.9120, loss_valid: 0.2930, accuracy_valid: 0.9010, 0.5306sec
epoch: 32, loss_train: 0.2680, accuracy_train: 0.9142, loss_valid: 0.2930, accuracy_valid: 0.9040, 0.5262sec
epoch: 33, loss_train: 0.2626, accuracy_train: 0.9148, loss_valid: 0.2889, accuracy_valid: 0.9048, 0.5232sec
epoch: 34, loss_train: 0.2600, accuracy_train: 0.9156, loss_valid: 0.2881, accuracy_valid: 0.9040, 0.5662sec
epoch: 35, loss_train: 0.2591, accuracy_train: 0.9167, loss_valid: 0.2874, accuracy_valid: 0.9063, 0.6160sec
epoch: 36, loss_train: 0.2541, accuracy_train: 0.9172, loss_valid: 0.2834, accuracy_valid: 0.9033, 0.5260sec
epoch: 37, loss_train: 0.2530, accuracy_train: 0.9167, loss_valid: 0.2825, accuracy_valid: 0.9010, 0.5502sec
